name,createdAt,primaryLanguage,stargazers,pullRequests,releases,updatedAt,total_issues,closed_issues,issue_closure_ratio,age,last_update
react-hook-form,2019-03-05T23:47:10Z,TypeScript,40873,1941,552,2024-08-22T23:45:26Z,4469,4448,0.9953009621839337,5,0
open-source-mac-os-apps,2017-11-03T02:35:33Z,Unknown,40840,522,0,2024-08-22T20:55:53Z,200,154,0.77,7,0
localsend,2022-12-16T00:46:07Z,Dart,40814,483,21,2024-08-23T00:35:49Z,878,477,0.5432801822323462,2,0
Leaflet,2010-09-22T16:57:44Z,JavaScript,40806,2986,31,2024-08-22T21:05:10Z,5172,4767,0.9216937354988399,14,0
jadx,2013-03-18T17:08:21Z,Java,40611,482,29,2024-08-23T00:16:31Z,1685,1295,0.7685459940652819,11,0
brew,2016-03-06T05:08:38Z,Ruby,40580,11249,382,2024-08-22T19:51:43Z,4466,4423,0.990371697268249,8,0
edex-ui,2017-01-28T09:35:02Z,JavaScript,40451,399,29,2024-08-23T00:11:58Z,559,553,0.9892665474060823,7,0
30-Days-Of-Python,2019-11-19T17:24:16Z,Python,40432,55,0,2024-08-23T00:23:30Z,139,74,0.5323741007194245,5,0
styled-components,2016-08-16T06:41:32Z,TypeScript,40348,945,169,2024-08-22T22:12:47Z,2892,2634,0.9107883817427386,8,0
drawio,2016-09-06T12:59:15Z,JavaScript,40337,36,837,2024-08-22T20:41:32Z,3642,3377,0.9272377814387699,8,0
dubbo,2012-06-19T07:56:02Z,Java,40311,5262,102,2024-08-22T12:55:03Z,6970,6212,0.891248206599713,12,0
ChatGLM-6B,2023-03-13T12:00:18Z,Python,40283,49,0,2024-08-22T15:02:34Z,1292,746,0.5773993808049536,1,0
kubernetes-the-hard-way,2016-07-07T14:15:27Z,Unknown,40266,70,0,2024-08-22T23:03:31Z,406,297,0.7315270935960592,8,0
nw.js,2012-01-04T06:21:10Z,JavaScript,40263,573,0,2024-08-23T00:21:46Z,7319,6396,0.8738898756660746,12,0
Docker-OSX,2020-06-04T11:01:37Z,Shell,40203,101,0,2024-08-22T23:53:47Z,612,265,0.43300653594771243,4,0
python-patterns,2012-06-06T21:02:35Z,Python,40081,264,0,2024-08-22T23:54:39Z,87,76,0.8735632183908046,12,0
Rocket.Chat,2015-05-19T07:36:09Z,TypeScript,39825,12536,940,2024-08-23T00:25:15Z,15893,13385,0.8421946769017806,9,0
uni-app,2018-07-12T08:52:39Z,JavaScript,39818,304,0,2024-08-22T14:23:01Z,4515,3501,0.7754152823920266,6,0
JeecgBoot,2018-11-26T10:40:00Z,Java,39803,74,46,2024-08-22T14:12:59Z,6142,6093,0.9920221426245522,6,0
what-happens-when,2013-11-07T04:30:06Z,Unknown,39730,108,0,2024-08-22T21:03:41Z,287,51,0.17770034843205576,11,0
monaco-editor,2016-06-07T16:56:31Z,JavaScript,39586,447,87,2024-08-22T23:31:08Z,3623,3101,0.855920507866409,8,0
vuetify,2016-09-12T00:39:35Z,TypeScript,39576,3943,564,2024-08-22T22:55:40Z,14099,13421,0.9519114830839066,8,0
Fooocus,2023-08-09T18:43:40Z,Python,39536,448,21,2024-08-22T21:37:31Z,1484,1324,0.8921832884097035,1,0
swiper,2012-03-14T19:11:45Z,JavaScript,39426,575,72,2024-08-22T23:35:19Z,5536,5411,0.9774205202312138,12,0
spark,2014-02-25T08:00:08Z,Scala,39174,7,0,2024-08-23T00:21:49Z,0,0,0.0,10,0
awesome-cheatsheets,2017-11-09T02:47:15Z,JavaScript,39139,168,0,2024-08-22T23:52:06Z,85,55,0.6470588235294118,7,0
text-generation-webui,2022-12-21T04:17:37Z,Python,39102,1005,50,2024-08-22T22:34:48Z,3587,3378,0.941734039587399,2,0
hexo,2012-09-23T15:17:08Z,TypeScript,39070,912,114,2024-08-22T21:03:10Z,3937,3862,0.9809499618999238,12,0
fastlane,2014-12-02T17:00:38Z,Ruby,38969,6177,543,2024-08-22T21:51:04Z,12944,12421,0.9595951792336218,10,0
lx-music-desktop,2019-08-14T14:31:08Z,TypeScript,38963,34,107,2024-08-22T21:45:22Z,1795,1119,0.6233983286908078,5,0
dbeaver,2015-10-21T08:26:28Z,Java,38955,4945,206,2024-08-22T23:19:03Z,17295,14881,0.8604220873084707,9,0
ailearning,2017-02-25T08:53:02Z,Python,38951,477,2,2024-08-22T16:58:53Z,111,109,0.9819819819819819,7,0
materialize,2014-09-12T19:35:38Z,JavaScript,38862,449,41,2024-08-22T21:02:49Z,5221,4598,0.8806742003447615,10,0
Stirling-PDF,2023-01-27T18:22:42Z,Java,38834,758,83,2024-08-23T00:34:10Z,720,546,0.7583333333333333,1,0
reactjs-interview-questions,2018-05-31T17:17:01Z,JavaScript,38670,155,0,2024-08-23T00:26:54Z,104,99,0.9519230769230769,6,0
kong,2014-11-17T23:56:08Z,Lua,38665,5918,141,2024-08-23T00:20:29Z,4388,4356,0.9927073837739289,10,0
awesome-design-patterns,2018-06-04T17:47:48Z,Unknown,38628,30,0,2024-08-22T23:25:52Z,13,5,0.38461538461538464,6,0
prisma,2019-06-20T13:33:47Z,TypeScript,38601,5486,194,2024-08-22T20:28:21Z,10391,7393,0.7114810894042922,5,0
CPlusPlusThings,2019-07-14T08:45:45Z,C++,38569,72,0,2024-08-22T19:45:41Z,221,215,0.9728506787330317,5,0
ColossalAI,2021-10-28T16:19:44Z,Python,38508,3510,42,2024-08-22T19:00:57Z,1643,1251,0.7614120511259891,3,0
sentry,2010-08-30T22:06:41Z,Python,38355,55808,135,2024-08-22T21:35:28Z,13104,10510,0.8020451770451771,14,0
pyenv,2012-08-31T06:57:52Z,Roff,38353,876,103,2024-08-22T21:52:32Z,1758,1706,0.9704209328782708,12,0
black,2018-03-14T19:54:45Z,Python,38249,1470,44,2024-08-22T21:27:40Z,2617,2260,0.8635842567825754,6,0
acme.sh,2015-12-26T12:56:33Z,Shell,38227,1306,41,2024-08-23T00:32:38Z,3068,2075,0.6763363754889179,9,0
pocketbase,2022-07-05T06:06:21Z,Go,38178,49,143,2024-08-22T23:08:57Z,1446,1407,0.9730290456431535,2,0
stablediffusion,2022-11-23T23:59:50Z,Python,38123,18,0,2024-08-22T17:44:32Z,299,71,0.23745819397993312,2,0
AFFiNE,2022-07-31T18:45:21Z,TypeScript,38045,4602,349,2024-08-23T00:29:12Z,2098,1945,0.927073403241182,2,0
cheat.sh,2017-05-07T21:40:56Z,Python,38019,122,0,2024-08-23T00:01:01Z,247,128,0.5182186234817814,7,0
fanqiang,2015-01-14T00:34:25Z,Kotlin,37913,3,3,2024-08-22T20:47:31Z,754,444,0.5888594164456233,9,0
Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48Z,Python,37870,28,0,2024-08-22T20:17:28Z,53,5,0.09433962264150944,8,0
esbuild,2016-06-14T16:08:50Z,Go,37839,234,288,2024-08-22T11:50:25Z,3444,3013,0.8748548199767712,8,0
metabase,2015-02-02T19:25:47Z,Clojure,37814,23862,544,2024-08-22T23:07:38Z,19650,15873,0.8077862595419847,9,0
php-src,2011-06-16T01:52:25Z,C,37778,3118,0,2024-08-22T23:32:51Z,2894,2275,0.7861091914305459,13,0
video.js,2010-05-14T18:45:10Z,JavaScript,37715,1761,319,2024-08-22T21:00:43Z,5264,4771,0.9063449848024316,14,0
bert,2018-10-25T22:57:34Z,Python,37697,32,0,2024-08-22T12:50:02Z,1142,352,0.30823117338003503,6,0
tabler,2018-02-01T09:08:59Z,HTML,37643,483,42,2024-08-23T00:05:40Z,906,831,0.9172185430463576,6,0
impress.js,2011-12-28T22:23:19Z,JavaScript,37603,121,15,2024-08-22T22:25:19Z,479,425,0.8872651356993737,13,0
iina,2016-12-19T07:18:45Z,Swift,37503,732,44,2024-08-22T23:50:47Z,3881,2255,0.5810358155114661,8,0
MPAndroidChart,2014-04-25T14:29:47Z,Java,37500,190,44,2024-08-22T18:54:59Z,4937,2884,0.5841604213084869,10,0
wrk,2012-03-20T11:12:28Z,C,37424,0,0,2024-08-22T23:10:29Z,402,262,0.6517412935323383,12,0
lobe-chat,2023-05-21T07:19:12Z,TypeScript,37356,965,813,2024-08-23T00:25:22Z,1818,1494,0.8217821782178217,1,0
